,Kecamatan,Kecamatan Latitude,Kecamatan Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,CENGKARENG,-6.1490933,106.73478100000001,XXI Puri Indah Mall,-6.151018337252608,106.73398277361841,Movie Theater
1,CENGKARENG,-6.1490933,106.73478100000001,Studio 29,-6.146642554033565,106.73227380822982,Music Venue
2,CENGKARENG,-6.1490933,106.73478100000001,Laut Dadap,-6.148721908253163,106.73294036575736,Harbor / Marina
3,CENGKARENG,-6.1490933,106.73478100000001,Family Mart City Park Apartement,-6.146726144996763,106.73564142165156,Night Market
4,CENGKARENG,-6.1490933,106.73478100000001,Mie Baso,-6.149799,106.730642,Restaurant
5,CENGKARENG,-6.1490933,106.73478100000001,bebek penyet ayu ros,-6.152406215667725,106.73737335205078,Diner
6,GROGOL PETAMBURAN,-6.1641878,106.7883166,RM Sinar Minang,-6.166565812626671,106.7864625849273,Indonesian Restaurant
7,GROGOL PETAMBURAN,-6.1641878,106.7883166,Bakmi Aloi,-6.162658654487163,106.79108901264827,Noodle House
8,GROGOL PETAMBURAN,-6.1641878,106.7883166,Bakmi Ayam Acang,-6.165009242200759,106.79137602792542,Noodle House
9,GROGOL PETAMBURAN,-6.1641878,106.7883166,Bakmie Keriting Siantar 36,-6.165403288065724,106.791395349703,Chinese Restaurant
10,GROGOL PETAMBURAN,-6.1641878,106.7883166,Mie Ayam Uban,-6.1642084,106.79055,Noodle House
11,GROGOL PETAMBURAN,-6.1641878,106.7883166,RM Sinar Minang - Masakan Padang,-6.166589437513066,106.78644965119894,Indonesian Restaurant
12,GROGOL PETAMBURAN,-6.1641878,106.7883166,Rāā Čhā Suki & Barbeque,-6.168249058058877,106.78643448321257,Asian Restaurant
13,GROGOL PETAMBURAN,-6.1641878,106.7883166,Tea Garden,-6.167700522140421,106.78636312652057,Asian Restaurant
14,GROGOL PETAMBURAN,-6.1641878,106.7883166,Mie Ahok (Dempo palembang),-6.164222,106.790695,Noodle House
15,GROGOL PETAMBURAN,-6.1641878,106.7883166,Hotel 88,-6.16601602517947,106.79093128067676,Hotel
16,GROGOL PETAMBURAN,-6.1641878,106.7883166,KFC,-6.16379053579197,106.78648383277057,Fast Food Restaurant
17,GROGOL PETAMBURAN,-6.1641878,106.7883166,Feodora Hotel,-6.165914467789385,106.78991468691974,Hotel
18,GROGOL PETAMBURAN,-6.1641878,106.7883166,Stasiun Grogol,-6.16213051154493,106.78935011106918,Train Station
19,GROGOL PETAMBURAN,-6.1641878,106.7883166,Burket,-6.161827111436931,106.79171883850461,Snack Place
20,GROGOL PETAMBURAN,-6.1641878,106.7883166,QQ Kopitiam,-6.167588134589359,106.78644350906166,Asian Restaurant
21,GROGOL PETAMBURAN,-6.1641878,106.7883166,Gramedia,-6.168193360878381,106.78648898292506,Bookstore
22,GROGOL PETAMBURAN,-6.1641878,106.7883166,Burger King,-6.168517772471848,106.78722363400212,Fast Food Restaurant
23,GROGOL PETAMBURAN,-6.1641878,106.7883166,Hotel Ciputra Jakarta,-6.167911425956755,106.78699707447137,Hotel
