,Kabupaten,Kecamatan,Luas,Latitude,Longitude
0,JAKARTA BARAT,CENGKARENG,26.55,-6.1490933,106.734781
1,JAKARTA BARAT,GROGOL PETAMBURAN,9.99,-6.1641878,106.7883166
2,JAKARTA BARAT,KALI DERES,30.23,-6.1343,106.7058
3,JAKARTA BARAT,KEBON JERUK,17.63,-6.19257205,106.7697255
4,JAKARTA BARAT,KEMBANGAN,24.17,-6.193,106.7426
5,JAKARTA BARAT,PALMERAH,7.51,-6.1910017,106.7943633
6,JAKARTA BARAT,TAMAN SARI,7.74,-6.14614235,106.818499
7,JAKARTA BARAT,TAMBORA,5.4,-6.1466142,106.8010456
8,JAKARTA PUSAT,CEMPAKA PUTIH,4.7,-6.1812145,106.8685477
9,JAKARTA PUSAT,GAMBIR,7.59,-6.1703,106.8148
10,JAKARTA PUSAT,JOHAR BARU,2.37,-6.18312505,106.8553323
11,JAKARTA PUSAT,KEMAYORAN,7.25,-6.1625465,106.8568903
12,JAKARTA PUSAT,MENTENG,6.53,-6.1950265,106.8322242
13,JAKARTA PUSAT,SAWAH BESAR,6.16,-6.15589135,106.8335798
14,JAKARTA PUSAT,SENEN,4.23,-6.184971,106.8432354
15,JAKARTA PUSAT,TANAH ABANG,9.3,-6.2052581,106.8094996
16,JAKARTA SELATAN,CILANDAK,18.16,-6.2868976,106.7944211
17,JAKARTA SELATAN,JAGAKARSA,24.88,-6.3300082,106.828191
18,JAKARTA SELATAN,KEBAYORAN BARU,12.92,-6.2441457,106.800434
19,JAKARTA SELATAN,KEBAYORAN LAMA,16.74,-6.243886,106.7798594
20,JAKARTA SELATAN,MAMPANG PRAPATAN,7.74,-6.2493736,106.8218597
21,JAKARTA SELATAN,PANCORAN,8.53,-6.2532977,106.8449775
22,JAKARTA SELATAN,PASAR MINGGU,21.71,-6.2856421,106.8297347
23,JAKARTA SELATAN,PESANGGRAHAN,13.46,-6.2488302,106.759631
24,JAKARTA SELATAN,SETIA BUDI,8.86,-6.2196,106.8326
25,JAKARTA SELATAN,TEBET,9.03,-6.2260164,106.858396
26,JAKARTA TIMUR,CAKUNG,42.27,-6.185562,106.9401095
27,JAKARTA TIMUR,CIPAYUNG,28.46,-6.3293992,106.9037389
28,JAKARTA TIMUR,CIRACAS,16.08,-6.3296346,106.8766039
29,JAKARTA TIMUR,DUREN SAWIT,22.66,-6.2341378,106.9192472
30,JAKARTA TIMUR,JATINEGARA,10.26,-6.2149761,106.8703405
31,JAKARTA TIMUR,KRAMAT JATI,13.3,-6.2754768,106.8703757
32,JAKARTA TIMUR,MAKASAR,21.86,-6.2693413,106.8888175
33,JAKARTA TIMUR,MATRAMAN,4.88,-6.203624,106.8645786
34,JAKARTA TIMUR,PASAR REBO,12.97,-6.32497275,106.8533759
35,JAKARTA TIMUR,PULO GADUNG,15.6,-6.1911085,106.8906053
36,JAKARTA UTARA,CILINCING,37.7,-6.12901455,106.9444538
37,JAKARTA UTARA,KELAPA GADING,16.12,-6.15993785,106.9024826
38,JAKARTA UTARA,KOJA,13.21,-6.12074995,106.9073621
39,JAKARTA UTARA,PADEMANGAN,9.91,-6.12905175,106.828972
40,JAKARTA UTARA,PENJARINGAN,34.48,-6.11726515,106.7674334
41,JAKARTA UTARA,TANJUNG PRIOK,25.12,-6.12885785,106.8707932
42,KABUPATEN ADMINITRATIF KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,3.05,-5.80388725,106.5253063
43,KABUPATEN ADMINITRATIF KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,5.65,-5.65444335,106.5680838
